Title,Description,FileName
neuro,Neurophysiological Point Process Data,neuro.csv
nitrofen,Toxicity of Nitrofen in Aquatic Systems,nitrofen.csv
nodal,Nodal Involvement in Prostate Cancer,nodal.csv
nuclear,Nuclear Power Station Construction Data,nuclear.csv
paulsen,Neurotransmission in Guinea Pig Brains,paulsen.csv
poisons,Animal Survival Times,poisons.csv
polar,Pole Positions of New Caledonian Laterites,polar.csv
remission,Cancer Remission and Cell Activity,remission.csv
salinity,Water Salinity and River Discharge,salinity.csv
survival,Survival of Rats after Radiation Doses,survival.csv
tau,Tau Particle Decay Modes,tau.csv
tuna,Tuna Sighting Data,tuna.csv
urine,Urine Analysis Data,urine.csv
wool,Australian Relative Wool Prices,wool.csv
aids,data from Section 1.19,aids.csv
alloauto,data from Section 1.9,alloauto.csv
allograft,"data from Exercise 13.1, p418",allograft.csv
azt,"data from Exercise 4.7, p122",azt.csv
baboon,"data from Exercise 5.8, p147",baboon.csv
bcdeter,data from Section 1.18,bcdeter.csv
bfeed,data from Section 1.14,bfeed.csv
bmt,data from Section 1.3,bmt.csv
bnct,"data from Exercise 7.7, p223",bnct.csv
btrial,data from Section 1.5,btrial.csv
burn,data from Section 1.6,burn.csv
channing,data from Section 1.16,channing.csv
drug6mp,data from Section 1.2,drug6mp.csv
drughiv,"data from Exercise 7.6, p222",drughiv.csv
hodg,data from Section 1.10,hodg.csv
kidney,data from Section 1.4,kidney.csv
kidrecurr,Data on 38 individuals using a kidney dialysis machine,kidrecurr.csv
kidtran,data from Section 1.7,kidtran.csv
larynx,data from Section 1.8,larynx.csv
lung,"data from Exercise 4.4, p120",lung.csv
pneumon,data from Section 1.13,pneumon.csv
psych,data from Section 1.15,psych.csv
rats,"data from Exercise 7.13, p225",rats.csv
std,data from Section 1.12,std.csv
stddiag,"data from Exercise 5.6, p146",stddiag.csv
tongue,data from Section 1.11,tongue.csv
twins,"data from Exercise 7.14, p225",twins.csv
Animals2,Brain and Body Weights for 65 Species of Land Animals,Animals2.csv
CrohnD,Crohn's Disease Adverse Events Data,CrohnD.csv
NOxEmissions,NOx Air Pollution Data,NOxEmissions.csv
SiegelsEx,Siegel's Exact Fit Example Data,SiegelsEx.csv
aircraft,Aircraft Data,aircraft.csv
airmay,Air Quality Data,airmay.csv
alcohol,Alcohol Solubility in Water Data,alcohol.csv
ambientNOxCH,Daily Means of NOx (mono-nitrogen oxides) in air,ambientNOxCH.csv
bushfire,Campbell Bushfire Data,bushfire.csv
carrots,Insect Damages on Carrots,carrots.csv
cloud,Cloud point of a Liquid,cloud.csv
coleman,Coleman Data Set,coleman.csv
condroz,Condroz Data,condroz.csv
cushny,Cushny and Peebles Prolongation of Sleep Data,cushny.csv
delivery,Delivery Time Data,delivery.csv
education,Education Expenditure Data,education.csv
epilepsy,Epilepsy Attacks Data Set,epilepsy.csv
exAM,Example Data of Antille and May - for Simple Regression,exAM.csv
foodstamp,Food Stamp Program Participation,foodstamp.csv
