Title,Description,FileName
motors,Accelerated Life Testing of Motorettes,motors.csv
muscle,Effect of Calcium Chloride on Muscle Contraction in Rat Hearts,muscle.csv
newcomb,Newcomb's Measurements of the Passage Time of Light,newcomb.csv
nlschools,Eighth-Grade Pupils in the Netherlands,nlschools.csv
npk,"Classical N, P, K Factorial Experiment",npk.csv
npr1,US Naval Petroleum Reserve No. 1 data,npr1.csv
oats,Data from an Oats Field Trial,oats.csv
painters,The Painter's Data of de Piles,painters.csv
petrol,N. L. Prater's Petrol Refinery Data,petrol.csv
quine,Absenteeism from School in Rural New South Wales,quine.csv
road,Road Accident Deaths in US States,road.csv
rotifer,Numbers of Rotifers by Fluid Density,rotifer.csv
ships,Ships Damage Data,ships.csv
shrimp,Percentage of Shrimp in Shrimp Cocktail,shrimp.csv
shuttle,Space Shuttle Autolander Problem,shuttle.csv
snails,Snail Mortality Data,snails.csv
steam,The Saturated Steam Pressure Data,steam.csv
stormer,The Stormer Viscometer Data,stormer.csv
survey,Student Survey Data,survey.csv
synth.te,Synthetic Classification Problem,synth.te.csv
synth.tr,Synthetic Classification Problem,synth.tr.csv
topo,Spatial Topographic Data,topo.csv
waders,Counts of Waders at 15 Sites in South Africa,waders.csv
whiteside,House Insulation: Whiteside's Data,whiteside.csv
wtloss,Weight Loss Data from an Obese Patient,wtloss.csv
Cigar,Cigarette Consumption,Cigar.csv
Crime,Crime in North Carolina,Crime.csv
EmplUK,Employment and Wages in the United Kingdom,EmplUK.csv
Gasoline,Gasoline Consumption,Gasoline.csv
Grunfeld,Grunfeld's Investment Data,Grunfeld.csv
Hedonic,Hedonic Prices of Census Tracts in the Boston Area,Hedonic.csv
LaborSupply,Wages and Hours Worked,LaborSupply.csv
Males,Wages and Education of Young Males,Males.csv
Produc,US States Production,Produc.csv
Snmesp,Employment and Wages in Spain,Snmesp.csv
SumHes,"The Penn World Table, v. 5",SumHes.csv
Wages,Panel Data of Individual Wages,Wages.csv
baseball,Yearly batting records for all major league baseball players,baseball.csv
AustralianElectionPolling,"Political opinion polls in Australia, 2004-07",AustralianElectionPolling.csv
AustralianElections,"elections to Australian House of Representatives, 1949-2007",AustralianElections.csv
EfronMorris,"Batting Averages for 18 major league baseball players, 1970",EfronMorris.csv
RockTheVote,"Voter turnout experiment, using Rock The Vote ads",RockTheVote.csv
UKHouseOfCommons,1992 United Kingdom electoral returns,UKHouseOfCommons.csv
absentee,Absentee and Machine Ballots in Pennsylvania State Senate Races,absentee.csv
admit,Applications to a Political Science PhD Program,admit.csv
bioChemists,article production by graduate students in biochemistry Ph.D. programs,bioChemists.csv
ca2006,California Congressional Districts in 2006,ca2006.csv
iraqVote,"U.S. Senate vote on the use of force against Iraq, 2002.",iraqVote.csv
politicalInformation,Interviewer ratings of respondent levels of political information,politicalInformation.csv
presidentialElections,"elections for U.S. President, 1932-2012, by state",presidentialElections.csv
prussian,Prussian army horse kick data,prussian.csv
unionDensity,cross national rates of trade union density,unionDensity.csv
vote92,Reports of voting in the 1992 U.S. Presidential election.,vote92.csv
french_fries,Sensory data from a french fries experiment.,french_fries.csv
smiths,Demo data describing the Smiths.,smiths.csv
tips,Tipping data,tips.csv
car.test.frame,Automobile Data from 'Consumer Reports' 1990,car.test.frame.csv
car90,Automobile Data from 'Consumer Reports' 1990,car90.csv
cu.summary,Automobile Data from 'Consumer Reports' 1990,cu.summary.csv
kyphosis,Data on Children who have had Corrective Spinal Surgery,kyphosis.csv
solder,Soldering of Components on Printed-Circuit Boards,solder.csv
stagec,Stage C Prostate Cancer,stagec.csv
PublicSchools,US Expenditures for Public Schools,PublicSchools.csv
Bollen,Bollen's Data on Industrialization and Political Democracy,Bollen.csv
CNES,Variables from the 1997 Canadian National Election Study,CNES.csv
Klein,Klein's Data on the U. S. Economy,Klein.csv
Kmenta,Partly Artificial Data on the U. S. Economy,Kmenta.csv
Tests,Six Mental Tests,Tests.csv
bladder,Bladder Cancer Recurrences,bladder.csv
cancer,NCCTG Lung Cancer Data,cancer.csv
cgd,Chronic Granulotomous Disease data,cgd.csv
colon,Chemotherapy for Stage B/C colon cancer,colon.csv
flchain,Assay of serum free light chain for 7874 subjects.,flchain.csv
heart,Stanford Heart Transplant data,heart.csv
kidney,Kidney catheter data,kidney.csv
leukemia,Acute Myelogenous Leukemia survival data,leukemia.csv
logan,Data from the 1972-78 GSS data used by Logan,logan.csv
lung,NCCTG Lung Cancer Data,lung.csv
mgus,Monoclonal gammapothy data,mgus.csv
nwtco,Data from the National Wilm's Tumor Study,nwtco.csv
ovarian,Ovarian Cancer Survival Data,ovarian.csv
pbc,Mayo Clinic Primary Biliary Cirrhosis Data,pbc.csv
rats,Rat treatment data from Mantel et al,rats.csv
stanford2,More Stanford Heart Transplant data,stanford2.csv
tobin,Tobin's Tobit data,tobin.csv
veteran,Veterans' Administration Lung Cancer study,veteran.csv
Arthritis,Arthritis Treatment Data,Arthritis.csv
Baseball,Baseball Data,Baseball.csv
BrokenMarriage,Broken Marriage Data,BrokenMarriage.csv
Bundesliga,Ergebnisse der Fussball-Bundesliga,Bundesliga.csv
Bundestag2005,Votes in German Bundestag Election 2005,Bundestag2005.csv
Butterfly,Butterfly Species in Malaya,Butterfly.csv
CoalMiners,Breathlessness and Wheeze in Coal Miners,CoalMiners.csv
DanishWelfare,Danish Welfare Study Data,DanishWelfare.csv
Employment,Employment Status,Employment.csv
Federalist,'May' in Federalist Papers,Federalist.csv
Hitters,Hitters Data,Hitters.csv
HorseKicks,Death by Horse Kicks,HorseKicks.csv
Hospital,Hospital data,Hospital.csv
JobSatisfaction,Job Satisfaction Data,JobSatisfaction.csv
JointSports,Opinions About Joint Sports,JointSports.csv
Lifeboats,Lifeboats on the Titanic,Lifeboats.csv
NonResponse,Non-Response Survey Data,NonResponse.csv
OvaryCancer,Ovary Cancer Data,OvaryCancer.csv
PreSex,Pre-marital Sex and Divorce,PreSex.csv
Punishment,Corporal Punishment Data,Punishment.csv
RepVict,Repeat Victimization Data,RepVict.csv
Saxony,Families in Saxony,Saxony.csv
SexualFun,Sex is Fun,SexualFun.csv
SpaceShuttle,Space Shuttle O-ring Failures,SpaceShuttle.csv
Suicide,Suicide Rates in Germany,Suicide.csv
Trucks,Truck Accidents Data,Trucks.csv
UKSoccer,UK Soccer Scores,UKSoccer.csv
VisualAcuity,Visual Acuity in Left and Right Eyes,VisualAcuity.csv
VonBort,Von Bortkiewicz Horse Kicks Data,VonBort.csv
WeldonDice,Weldon's Dice Data,WeldonDice.csv
WomenQueue,Women in Queues,WomenQueue.csv
MatchIt.url,Table of links for Zelig,MatchIt.url.csv
PErisk,Political Economic Risk Data from 62 Countries in 1987,PErisk.csv
SupremeCourt,U.S. Supreme Court Vote Matrix,SupremeCourt.csv
Weimar,1932 Weimar election data,Weimar.csv
Zelig.url,Table of links for Zelig,Zelig.url.csv
approval,U.S. Presidential Approval Data,approval.csv
bivariate,Sample data for bivariate probit regression,bivariate.csv
coalition,Coalition Dissolution in Parliamentary Democracies,coalition.csv
coalition2,"Coalition Dissolution in Parliamentary Democracies, Modified Version",coalition2.csv
eidat,Simulation Data for Ecological Inference,eidat.csv
free1,Freedom of Speech Data,free1.csv
free2,Freedom of Speech Data,free2.csv
friendship,Simulated Example of Schoolchildren Friendship Network,friendship.csv
grunfeld,Simulation Data for model Seemingly Unrelated Regression (sur) that corresponds to method SUR of systemfit,grunfeld.csv
hoff,Social Security Expenditure Data,hoff.csv
homerun,Sample Data on Home Runs Hit By Mark McGwire and Sammy Sosa in 1998.,homerun.csv
immi1,Individual Preferences Over Immigration Policy,immi1.csv
immi2,Individual Preferences Over Immigration Policy,immi2.csv
immi3,Individual Preferences Over Immigration Policy,immi3.csv
immi4,Individual Preferences Over Immigration Policy,immi4.csv
immi5,Individual Preferences Over Immigration Policy,immi5.csv
immigration,Individual Preferences Over Immigration Policy,immigration.csv
klein,Simulation Data for model Two-Stage Least Square (twosls) that corresponds to method 2SLS of systemfit,klein.csv
kmenta,Simulation Data for model Three-Stage Least Square (threesls) that corresponds to method 3SLS of systemfit,kmenta.csv
macro,Macroeconomic Data,macro.csv
mexico,Voting Data from the 1988 Mexican Presidental Election,mexico.csv
mid,Militarized Interstate Disputes,mid.csv
newpainters,The Discretized Painter's Data of de Piles,newpainters.csv
sanction,Multilateral Economic Sanctions,sanction.csv
sna.ex,Simulated Example of Social Network Data,sna.ex.csv
swiss,Swiss Fertility and Socioeconomic Indicators (1888) Data,swiss.csv
tobin,Tobin's Tobit Data,tobin.csv
turnout,Turnout Data Set from the National Election Survey,turnout.csv
voteincome,Sample Turnout and Demographic Data from the 2000 Current Population Survey,voteincome.csv
BCG,BCG Vaccine Data,BCG.csv
BtheB,Beat the Blues Data,BtheB.csv
CYGOB1,CYG OB1 Star Cluster Data,CYGOB1.csv
Forbes2000,The Forbes 2000 Ranking of the World's Biggest Companies (Year 2004),Forbes2000.csv
GHQ,General Health Questionnaire,GHQ.csv
Lanza,Prevention of Gastointestinal Damages,Lanza.csv
agefat,Total Body Composision Data,agefat.csv
aspirin,Aspirin Data,aspirin.csv
birthdeathrates,Birth and Death Rates Data,birthdeathrates.csv
bladdercancer,Bladder Cancer Data,bladdercancer.csv
clouds,Cloud Seeding Data,clouds.csv
epilepsy,Epilepsy Data,epilepsy.csv
foster,Foster Feeding Experiment,foster.csv
heptathlon,Olympic Heptathlon Seoul 1988,heptathlon.csv
mastectomy,Survival Times after Mastectomy of Breast Cancer Patients,mastectomy.csv
meteo,Meteorological Measurements for 11 Years,meteo.csv
orallesions,Oral Lesions in Rural India,orallesions.csv
phosphate,Phosphate Level Data,phosphate.csv
pistonrings,Piston Rings Failures,pistonrings.csv
planets,Exoplanets Data,planets.csv
plasma,Blood Screening Data,plasma.csv
polyps,Familial Andenomatous Polyposis,polyps.csv
polyps3,Familial Andenomatous Polyposis,polyps3.csv
pottery,Romano-British Pottery Data,pottery.csv
rearrests,Rearrests of Juvenile Felons,rearrests.csv
respiratory,Respiratory Illness Data,respiratory.csv
roomwidth,Students Estimates of Lecture Room Width,roomwidth.csv
schizophrenia,Age of Onset of Schizophrenia Data,schizophrenia.csv
schizophrenia2,Schizophrenia Data,schizophrenia2.csv
schooldays,Days not Spent at School,schooldays.csv
skulls,Egyptian Skulls,skulls.csv
smoking,Nicotine Gum and Smoking Cessation,smoking.csv
students,Student Risk Taking,students.csv
suicides,Crowd Baiting Behaviour and Suicides,suicides.csv
toothpaste,Toothpaste Data,toothpaste.csv
voting,House of Representatives Voting Data,voting.csv
water,Mortality and Water Hardness,water.csv
watervoles,Water Voles Data,watervoles.csv
waves,Electricity from Wave Power at Sea,waves.csv
weightgain,Gain in Weight of Rats,weightgain.csv
womensrole,Womens Role in Society,womensrole.csv
Bechtoldt,Seven data sets showing a bifactor solution.,Bechtoldt.csv
Bechtoldt.1,Seven data sets showing a bifactor solution.,Bechtoldt.1.csv
Bechtoldt.2,Seven data sets showing a bifactor solution.,Bechtoldt.2.csv
Dwyer,8 cognitive variables used by Dwyer for an example.,Dwyer.csv
Gleser,"Example data from Gleser, Cronbach and Rajaratnam (1965) to show basic principles of generalizability theory.",Gleser.csv
Gorsuch,Example data set from Gorsuch (1997) for an example factor extension.,Gorsuch.csv
Harman.5,5 socio-economic variables from Harman (1967),Harman.5.csv
Harman.8,"Correlations of eight physical variables (from Harman, 1966)",Harman.8.csv
Harman.political,Eight political variables used by Harman (1967) as example 8.17,Harman.political.csv
Holzinger,Seven data sets showing a bifactor solution.,Holzinger.csv
Holzinger.9,Seven data sets showing a bifactor solution.,Holzinger.9.csv
Reise,Seven data sets showing a bifactor solution.,Reise.csv
Schmid,12 variables created by Schmid and Leiman to show the Schmid-Leiman Transformation,Schmid.csv
Thurstone,Seven data sets showing a bifactor solution.,Thurstone.csv
Thurstone.33,Seven data sets showing a bifactor solution.,Thurstone.33.csv
Tucker,9 Cognitive variables discussed by Tucker and Lewis (1973),Tucker.csv
ability,16 ability items scored as correct or incorrect.,ability.csv
affect,Two data sets of affect and arousal scores as a function of personality and movie conditions,affect.csv
bfi,25 Personality items representing 5 factors,bfi.csv
bfi.dictionary,25 Personality items representing 5 factors,bfi.dictionary.csv
blot,Bond's Logical Operations Test - BLOT,blot.csv
burt,11 emotional variables from Burt (1915),burt.csv
cities,Distances between 11 US cities,cities.csv
cubits,Galton's example of the relationship between height and 'cubit' or forearm length,cubits.csv
cushny,"A data set from Cushny and Peebles (1905) on the effect of three drugs on hours of sleep, used by Student (1908)",cushny.csv
epi,Eysenck Personality Inventory (EPI) data for 3570 participants,epi.csv
epi.bfi,13 personality scales from the Eysenck Personality Inventory and Big 5 inventory,epi.bfi.csv
epi.dictionary,Eysenck Personality Inventory (EPI) data for 3570 participants,epi.dictionary.csv
galton,Galton's Mid parent child height data,galton.csv
heights,A data.frame of the Galton (1888) height and cubit data set.,heights.csv
income,US family income from US census 2008,income.csv
iqitems,16 multiple choice IQ items,iqitems.csv
msq,75 mood items from the Motivational State Questionnaire for 3896 participants,msq.csv
neo,NEO correlation matrix from the NEO_PI_R manual,neo.csv
peas,Galton's Peas,peas.csv
sat.act,"3 Measures of ability: SATV, SATQ, ACT",sat.act.csv
withinBetween,An example of the distinction between within group and between group correlations,withinBetween.csv
Bosco,Boscovich Data,Bosco.csv
CobarOre,Cobar Ore data,CobarOre.csv
Mammals,Garland(1983) Data on Running Speed of Mammals,Mammals.csv
barro,Barro Data,barro.csv
engel,Engel Data,engel.csv
uis,UIS Drug Treatment study data,uis.csv
dietox,Growth curves of pigs in a 3x3 factorial experiment,dietox.csv
koch,Ordinal Data from Koch,koch.csv
ohio,Ohio Children Wheeze Status,ohio.csv
respdis,Clustered Ordinal Respiratory Disorder,respdis.csv
respiratory,Data from a clinical trial comparing two treatments for a respiratory illness,respiratory.csv
seizure,Epiliptic Seizures,seizure.csv
sitka89,Growth of Sitka Spruce Trees,sitka89.csv
spruce,Log-size of 79 Sitka spruce trees,spruce.csv
liver,Liver related laboratory data,liver.csv
portpirie,"Rain, wavesurge and portpirie datasets.",portpirie.csv
rain,"Rain, wavesurge and portpirie datasets.",rain.csv
summer,"Air pollution data, separately for summer and winter months",summer.csv
wavesurge,"Rain, wavesurge and portpirie datasets.",wavesurge.csv
winter,"Air pollution data, separately for summer and winter months",winter.csv
arthritis,Rheumatoid Arthritis Clinical Trial,arthritis.csv
housing,Homeless Data,housing.csv
bmw,Daily Log Returns on BMW Share Price,bmw.csv
danish,Danish Fire Insurance Claims,danish.csv
nidd.annual,The River Nidd Data,nidd.annual.csv
nidd.thresh,The River Nidd Data,nidd.thresh.csv
siemens,Daily Log Returns on Siemens Share Price,siemens.csv
sp.raw,SP Data to June 1993,sp.raw.csv
spto87,SP Return Data to October 1987,spto87.csv
Dyestuff,Yield of dyestuff by batch,Dyestuff.csv
Dyestuff2,Yield of dyestuff by batch,Dyestuff2.csv
InstEval,University Lecture/Instructor Evaluations by Students at ETH,InstEval.csv
Pastes,Paste strength by batch and cask,Pastes.csv
Penicillin,Variation in penicillin testing,Penicillin.csv
VerbAgg,Verbal Aggression item responses,VerbAgg.csv
cake,Breakage Angle of Chocolate Cakes,cake.csv
cbpp,Contagious bovine pleuropneumonia,cbpp.csv
grouseticks,Data on red grouse ticks from Elston et al. 2001,grouseticks.csv
sleepstudy,Reaction times in a sleep deprivation study,sleepstudy.csv
